r.num,Duration,Epidemic,Rt,
104,323.75,771.00,0.46,
105,347.75,807.00,0.39,
106,416.50,782.00,0.44,
107,8.50,0.00,2.00,
108,438.00,817.00,0.37,
109,1.75,0.00,2.00,
110,69.25,4.00,1.99,
111,413.00,794.00,0.41,
112,16.75,0.00,2.00,
113,21.00,0.00,2.00,
114,258.75,799.00,0.40,
115,5.50,0.00,2.00,
116,6.00,0.00,2.00,
117,20.25,0.00,2.00,
118,20.50,0.00,2.00,
119,315.00,810.00,0.38,
120,333.00,778.00,0.44,
121,310.25,795.00,0.41,
122,6.00,0.00,2.00,
123,9.25,0.00,2.00,
124,6.25,0.00,2.00,
125,349.75,825.00,0.35,
126,8.25,0.00,2.00,
127,282.75,830.00,0.34,
128,297.00,808.00,0.38,
129,344.25,805.00,0.39,
130,27.25,1.00,2.00,
131,302.50,766.00,0.47,
132,17.25,4.00,1.99,
133,300.25,804.00,0.39,
134,19.50,0.00,2.00,
135,23.50,1.00,2.00,
136,278.00,842.00,0.32,
137,6.25,0.00,2.00,
138,26.00,2.00,2.00,
139,418.50,738.00,0.52,
140,17.75,0.00,2.00,
141,35.50,2.00,2.00,
142,267.25,754.00,0.49,
143,343.00,801.00,0.40,
144,79.75,6.00,1.99,
145,385.50,807.00,0.39,
146,274.75,804.00,0.39,
147,416.75,728.00,0.54,
148,341.00,807.00,0.39,
149,359.50,755.00,0.49,
150,35.00,1.00,2.00,
151,4.75,0.00,2.00,
152,17.25,1.00,2.00,
153,14.25,0.00,2.00,
154,25.75,0.00,2.00,
155,28.00,0.00,2.00,
156,28.00,2.00,2.00,
157,272.75,829.00,0.34,
158,3.00,0.00,2.00,
159,11.25,1.00,2.00,
160,286.25,794.00,0.41,
161,7.50,0.00,2.00,
162,314.50,816.00,0.37,
163,31.00,1.00,2.00,
164,22.75,1.00,2.00,
165,62.75,3.00,1.99,
166,359.25,774.00,0.45,
167,279.00,828.00,0.34,
168,27.50,0.00,2.00,
169,263.50,792.00,0.42,
170,9.75,0.00,2.00,
171,319.50,773.00,0.45,
172,366.50,823.00,0.35,
173,409.00,827.00,0.35,
174,32.50,1.00,2.00,
175,4.25,0.00,2.00,
176,337.75,782.00,0.44,
177,30.50,3.00,1.99,
178,14.75,0.00,2.00,
179,358.00,764.00,0.47,
180,300.25,775.00,0.45,
181,422.75,796.00,0.41,
182,346.50,824.00,0.35,
183,30.25,1.00,2.00,
184,80.75,9.00,1.98,
185,22.25,0.00,2.00,
186,249.00,792.00,0.42,
187,340.50,799.00,0.40,
188,2.50,0.00,2.00,
189,13.00,0.00,2.00,
190,386.75,785.00,0.43,
191,293.25,805.00,0.39,
192,12.00,1.00,2.00,
193,2.25,0.00,2.00,
194,311.25,799.00,0.40,
195,8.75,0.00,2.00,
196,329.50,790.00,0.42,
197,11.25,0.00,2.00,
