,Duration,Epidemic,Rt
716,359.25,807,0.386
717,277.75,774,0.452
718,324,736,0.528
719,6.5,0,2
720,287.75,785,0.43
721,6.75,0,2
722,9.25,0,2
723,10.25,0,2
724,404.25,844,0.312
725,420.75,778,0.444
726,299,804,0.392
727,11,0,2
728,294.25,734,0.532
729,305,804,0.392
730,1.25,0,2
731,270.75,784,0.432
732,289,822,0.356
733,274,800,0.4
734,36.25,0,2
735,359,854,0.292
736,389.5,794,0.412
737,6.75,0,2
738,376.5,763,0.474
739,408.5,792,0.416
740,331,787,0.426
741,47.75,5,1.99
742,49.75,3,1.994
743,29.5,2,1.996
744,5,0,2
745,9.25,0,2
746,5.25,0,2
747,1.5,0,2
748,415,764,0.472
749,356.75,792,0.416
750,295,794,0.412
751,309.75,790,0.42
752,12.75,0,2
753,12.5,0,2
754,14,0,2
755,7.5,0,2
756,42.5,4,1.992
757,313.25,803,0.394
758,393.75,781,0.438
759,9,0,2
760,6.5,0,2
761,2.5,0,2
762,18.75,1,1.998
763,409.75,753,0.494
764,25.25,2,1.996
765,360.75,780,0.44
766,7.25,1,1.998
767,27.25,1,1.998
768,10,0,2
769,8.5,0,2
770,371.75,764,0.472
771,14,1,1.998
772,19.25,0,2
773,13.75,0,2
774,278.25,861,0.278
775,8.75,0,2
776,315.5,817,0.366
777,6.25,0,2
778,330,790,0.42
779,59.5,6,1.988
780,3.75,0,2
781,27.25,2,1.996
782,310.5,776,0.448
783,13.25,0,2
784,383.75,811,0.378
785,334.25,839,0.322
786,4,0,2
787,337.25,811,0.378
788,11,0,2
789,7.25,0,2
790,7.5,0,2
791,19,0,2
792,464.75,780,0.44
793,331,841,0.318
794,34.5,3,1.994
795,405.5,810,0.38
796,5.25,0,2
797,335.75,817,0.366
798,10,0,2
799,323.75,834,0.332
800,298.25,731,0.538
801,385.25,775,0.45
802,7,1,1.998
803,152.5,24,1.952
804,324.5,786,0.428
805,285,763,0.474
806,302.5,768,0.464
807,408,818,0.364
808,369.25,801,0.398
809,12.75,0,2
810,28,2,1.996
811,1.5,0,2
812,342.5,792,0.416
813,309,770,0.46
814,2,0,2
815,304,791,0.418
816,388.5,778,0.444
817,2.25,0,2
818,19.75,1,1.998
819,397.5,795,0.41
820,8.75,0,2
821,14.25,0,2
822,18,0,2
823,21.25,1,1.998
824,315,743,0.514
825,19.75,0,2
826,298.25,788,0.424
827,10,0,2
828,6.75,0,2
829,334,839,0.322
830,15.5,1,1.998
831,42.5,5,1.99
832,316.25,830,0.34
833,318,854,0.292
834,58,4,1.992
835,24.5,1,1.998
836,37.25,2,1.996
837,314.25,753,0.494
838,302.5,827,0.346
839,309.5,811,0.378
840,25,3,1.994
841,13,0,2
842,20.75,2,1.996
843,301.25,801,0.398
844,305.75,745,0.51
845,4.25,0,2
846,2.75,0,2
847,3,0,2
848,350.25,769,0.462
849,331,794,0.412
850,45,4,1.992
851,439.5,799,0.402
852,385.75,803,0.394
853,306.75,784,0.432
854,357.5,729,0.542
855,20.25,0,2
856,11.5,0,2
857,314.25,861,0.278
858,315.5,837,0.326
859,15.75,1,1.998
860,292.5,817,0.366
861,2,0,2
862,24,1,1.998
863,379.25,791,0.418
864,2,0,2
865,324.5,815,0.37
866,17.75,0,2
867,318,786,0.428
868,301.75,769,0.462
869,3.5,0,2
870,439.5,790,0.42
871,413,800,0.4
872,409,796,0.408
873,39.75,3,1.994
874,400.75,721,0.558
875,3.25,0,2
876,241,781,0.438
877,320.5,766,0.468
878,375.75,796,0.408
879,332,781,0.438
880,312.25,769,0.462
881,13.75,0,2
882,2.25,0,2
883,5.75,0,2
884,273.5,811,0.378
885,11.5,0,2
886,22.5,0,2
887,264.75,837,0.326
888,6.75,0,2
889,11,0,2
890,12,0,2
891,10.75,0,2
892,356.75,755,0.49
893,367,822,0.356
894,245.75,823,0.354
895,430.25,833,0.334
896,22.5,0,2
897,12.5,0,2
898,8.5,0,2
899,1.5,0,2
900,325.5,773,0.454
901,48.5,5,1.99
902,3.75,0,2
903,410.5,754,0.492
904,309.75,795,0.41
905,277.5,810,0.38
