r.num,Epidemic,Duration,
560,798.00,326.50,
561,804.00,296.00,
562,9.00,67.50,
563,781.00,226.50,
564,0.00,15.00,
565,801.00,281.50,
566,0.00,7.50,
567,844.00,263.50,
568,761.00,337.50,
569,792.00,243.00,
570,795.00,222.00,
571,818.00,326.00,
572,779.00,244.50,
573,814.00,212.50,
574,824.00,238.00,
575,0.00,18.00,
576,0.00,18.50,
577,822.00,228.00,
578,833.00,281.50,
579,778.00,351.00,
580,0.00,8.50,
581,772.00,342.00,
582,745.00,256.50,
583,1.00,20.50,
584,776.00,228.50,
585,802.00,293.00,
586,779.00,305.50,
587,793.00,339.00,
588,0.00,21.00,
589,0.00,11.50,
590,760.00,305.00,
591,2.00,43.50,
592,847.00,296.50,
593,831.00,220.50,
594,768.00,413.00,
595,799.00,204.00,
596,782.00,262.00,
597,814.00,236.50,
598,2.00,16.00,
599,830.00,259.50,
600,779.00,248.50,
601,4.00,47.00,
602,0.00,24.50,
603,807.00,297.00,
604,786.00,309.50,
605,777.00,298.50,
606,804.00,269.50,
607,808.00,239.00,
608,819.00,212.00,
609,794.00,285.00,
610,791.00,230.00,
611,1.00,26.50,
612,756.00,251.50,
613,0.00,13.00,
614,813.00,276.50,
615,778.00,311.50,
616,792.00,247.00,
617,809.00,247.00,
618,761.00,273.50,
619,767.00,323.00,
620,816.00,251.00,
621,763.00,264.50,
622,766.00,231.00,
623,752.00,234.00,
624,0.00,14.00,
625,839.00,241.00,
626,0.00,19.00,
627,799.00,221.00,
628,816.00,217.50,
629,828.00,319.00,
630,785.00,243.00,
631,0.00,17.00,
632,735.00,249.00,
633,813.00,277.00,
634,0.00,12.50,
635,832.00,234.00,
636,826.00,302.00,
637,798.00,260.00,
638,795.00,231.50,
639,829.00,219.00,
640,794.00,227.00,
641,817.00,242.00,
642,801.00,231.50,
643,0.00,3.00,
644,801.00,284.00,
645,0.00,19.50,
646,0.00,9.50,
647,2.00,31.50,
648,0.00,37.50,
649,804.00,249.00,
650,0.00,16.00,
651,0.00,25.50,
652,809.00,238.00,
653,0.00,20.00,
654,806.00,246.50,
655,811.00,238.50,
656,805.00,260.00,
657,768.00,305.00,
658,0.00,24.50,
659,1.00,12.00,
660,761.00,278.50,
661,824.00,244.50,
662,824.00,264.00,
663,0.00,12.50,
664,0.00,17.50,
665,818.00,196.50,
666,0.00,13.50,
667,749.00,298.50,
668,0.00,19.00,
669,735.00,283.50,
670,786.00,248.00,
671,812.00,257.00,
672,817.00,227.00,
673,1.00,13.00,
674,822.00,227.00,
675,789.00,294.00,
676,806.00,261.00,
677,799.00,243.50,
678,807.00,234.50,
679,0.00,10.50,
680,757.00,285.50,
681,0.00,14.00,
