,Duration,Epidemic,Rt
133,311.25,802,0.396
134,51.75,3,1.994
135,249.5,813,0.374
136,314,750,0.5
137,236.5,841,0.318
138,10.25,0,2
139,217,790,0.42
140,360,770,0.46
141,247.5,831,0.338
142,273,807,0.386
143,9.25,0,2
144,215,820,0.36
145,259.75,785,0.43
146,13.25,0,2
147,228.75,827,0.346
148,5.5,0,2
149,352.5,785,0.43
150,265.25,795,0.41
151,36.25,2,1.996
152,7.5,0,2
153,276.75,753,0.494
154,208.25,833,0.334
155,29,0,2
156,313.75,779,0.442
157,55.5,2,1.996
158,308.5,764,0.472
159,260,773,0.454
160,305.25,800,0.4
161,22.5,1,1.998
162,266,758,0.484
163,327.25,793,0.414
164,249,762,0.476
165,294.25,810,0.38
166,272.5,809,0.382
167,267,767,0.466
168,248.5,817,0.366
169,3.75,0,2
170,229.5,788,0.424
171,262.5,777,0.446
172,23.75,0,2
173,295.5,765,0.47
174,40.5,0,2
175,197,810,0.38
176,14.25,1,1.998
177,16.5,1,1.998
178,233.75,800,0.4
179,11,0,2
180,278.5,855,0.29
181,242.5,773,0.454
182,306.25,791,0.418
183,260.75,838,0.324
184,276.25,832,0.336
185,43,1,1.998
186,333.25,763,0.474
187,257,806,0.388
188,6.5,0,2
189,288.75,827,0.346
190,224.5,775,0.45
191,226.5,800,0.4
192,14,0,2
193,27.75,1,1.998
194,51,1,1.998
195,251.5,794,0.412
196,314.75,803,0.394
197,35.25,2,1.996
198,5.75,0,2
199,217.75,788,0.424
200,306,799,0.402
201,321.75,768,0.464
202,247.75,799,0.402
203,279.25,796,0.408
204,314.75,742,0.516
205,16.5,0,2
206,222.75,793,0.414
207,298.5,811,0.378
208,23.75,1,1.998
209,36.75,0,2
210,14.25,0,2
211,241.25,774,0.452
212,29,2,1.996
213,254,794,0.412
214,25.5,1,1.998
215,202,832,0.336
216,275.5,802,0.396
217,13.5,0,2
218,13,0,2
219,56.25,4,1.992
220,312.75,819,0.362
221,33.75,1,1.998
222,21,0,2
223,238.25,827,0.346
224,269.75,801,0.398
225,257.25,821,0.358
226,222.5,784,0.432
227,290,738,0.524
228,6,0,2
229,255.25,802,0.396
230,280.25,786,0.428
231,301.75,801,0.398
232,16.5,1,1.998
233,231.75,816,0.368
234,286.25,801,0.398
235,10.5,0,2
236,275.25,793,0.414
237,266,784,0.432
238,320,830,0.34
239,257.25,767,0.466
240,11.75,0,2
241,269.25,739,0.522
242,272.5,743,0.514
243,261.25,786,0.428
244,251.5,801,0.398
245,242.25,807,0.386
246,229.75,821,0.358
247,21,0,2
248,23.5,0,2
249,262.25,747,0.506
250,311.5,781,0.438
251,233,761,0.478
252,222.5,784,0.432
253,271.75,777,0.446
254,264.75,801,0.398
255,269.25,837,0.326
256,19.75,0,2
257,226.75,791,0.418
258,22.25,0,2
259,283.25,815,0.37
260,23.5,1,1.998
261,47.75,3,1.994
262,282.25,761,0.478
263,290.25,811,0.378
264,9.5,0,2
265,246.5,835,0.33
266,7,1,1.998
267,26.75,1,1.998
268,31,2,1.996
269,308.5,737,0.526
270,246.5,815,0.37
271,215.5,773,0.454
272,250,788,0.424
273,13,0,2
274,250.25,810,0.38
275,17.75,0,2
276,284.75,772,0.456
277,12.25,0,2
278,288.75,759,0.482
279,49.5,3,1.994
280,251,778,0.444
281,253,795,0.41
282,16.25,1,1.998
283,62,6,1.988
284,213.5,792,0.416
