,Duration,Epidemic,Rt
249,6.5,0.0,2.0
250,239.75,799.0,0.402
251,275.25,825.0,0.35
252,243.25,717.0,0.566
253,17.25,0.0,2.0
254,15.25,1.0,1.998
255,280.75,761.0,0.478
256,294.75,825.0,0.35
257,9.25,2.0,1.996
258,226.5,801.0,0.398
259,11.0,3.0,1.994
260,25.25,1.0,1.998
261,16.25,0.0,2.0
262,239.75,801.0,0.398
263,3.0,0.0,2.0
264,245.0,833.0,0.334
265,260.0,815.0,0.37
266,221.5,815.0,0.37
267,247.0,772.0,0.456
268,6.0,0.0,2.0
269,13.5,1.0,1.998
270,3.25,1.0,1.998
271,253.25,801.0,0.398
272,9.0,3.0,1.994
273,29.25,9.0,1.982
274,275.5,755.0,0.49
275,204.75,831.0,0.338
276,3.5,0.0,2.0
277,264.0,790.0,0.42
278,358.25,694.0,0.612
279,14.75,4.0,1.992
280,3.25,0.0,2.0
281,2.0,0.0,2.0
282,243.5,817.0,0.366
283,286.5,795.0,0.41
284,244.0,790.0,0.42
285,254.5,803.0,0.394
286,33.25,7.0,1.986
287,17.0,0.0,2.0
288,7.25,1.0,1.998
289,6.5,0.0,2.0
290,283.5,835.0,0.33
291,249.5,763.0,0.474
292,266.25,778.0,0.444
293,224.5,790.0,0.42
294,213.25,803.0,0.394
295,263.25,751.0,0.498
296,238.25,805.0,0.39
297,21.25,2.0,1.996
298,322.5,806.0,0.388
299,253.25,791.0,0.418
300,0.25,0.0,2.0
301,223.25,797.0,0.406
302,247.75,787.0,0.426
303,274.25,829.0,0.342
304,239.0,798.0,0.404
305,362.75,761.0,0.478
306,8.25,1.0,1.998
307,223.75,867.0,0.266
308,238.5,782.0,0.436
309,238.5,801.0,0.398
310,22.25,4.0,1.992
311,238.25,810.0,0.38
312,5.0,0.0,2.0
313,1.0,0.0,2.0
314,19.75,4.0,1.992
315,29.0,9.0,1.982
316,1.75,0.0,2.0
317,2.25,0.0,2.0
318,38.25,3.0,1.994
319,5.0,0.0,2.0
320,235.5,849.0,0.302
321,1.0,0.0,2.0
322,4.5,0.0,2.0
323,36.75,6.0,1.988
324,16.0,0.0,2.0
325,11.0,0.0,2.0
326,220.0,811.0,0.378
327,19.5,0.0,2.0
328,3.25,0.0,2.0
329,0.5,0.0,2.0
330,2.5,0.0,2.0
331,286.5,798.0,0.404
332,243.0,781.0,0.438
333,237.0,795.0,0.41
334,263.75,807.0,0.386
335,314.5,748.0,0.504
336,20.25,0.0,2.0
337,213.0,799.0,0.402
338,2.5,0.0,2.0
339,296.0,792.0,0.416
340,283.75,739.0,0.522
341,1.0,0.0,2.0
342,2.0,0.0,2.0
343,250.5,793.0,0.414
344,225.25,836.0,0.328
345,27.5,2.0,1.996
346,6.0,0.0,2.0
347,208.0,806.0,0.388
348,5.75,1.0,1.998
349,2.25,1.0,1.998
350,1.25,0.0,2.0
351,230.75,769.0,0.462
352,234.25,768.0,0.464
353,234.25,832.0,0.336
354,0.5,0.0,2.0
355,1.5,0.0,2.0
356,293.0,803.0,0.394
357,5.25,0.0,2.0
358,19.5,1.0,1.998
359,1.25,0.0,2.0
360,9.25,0.0,2.0
361,227.75,790.0,0.42
362,0.75,0.0,2.0
363,247.75,825.0,0.35
364,1.5,0.0,2.0
365,243.0,823.0,0.354
366,21.0,0.0,2.0
367,265.75,781.0,0.438
368,22.25,2.0,1.996
369,3.0,0.0,2.0
370,2.0,0.0,2.0
371,8.25,0.0,2.0
372,5.75,0.0,2.0
373,1.5,0.0,2.0
374,282.25,797.0,0.406
375,248.25,746.0,0.508
376,248.0,763.0,0.474
377,5.5,0.0,2.0
378,11.75,0.0,2.0
379,228.5,827.0,0.346
380,2.75,0.0,2.0
381,6.5,1.0,1.998
382,29.0,4.0,1.992
383,308.5,769.0,0.462
384,50.0,8.0,1.984
385,290.75,840.0,0.32
386,231.25,843.0,0.314
387,30.5,1.0,1.998
388,17.75,2.0,1.996
389,2.5,0.0,2.0
390,12.5,1.0,1.998
391,6.25,0.0,2.0
392,1.25,0.0,2.0
393,286.5,793.0,0.414
394,232.5,810.0,0.38
395,354.0,817.0,0.366
396,3.0,0.0,2.0
397,0.5,0.0,2.0
398,3.0,0.0,2.0
399,7.0,0.0,2.0
400,266.75,839.0,0.322
401,22.25,4.0,1.992
402,206.75,794.0,0.412
403,259.25,785.0,0.43
404,8.0,1.0,1.998
405,237.5,813.0,0.374
406,279.0,831.0,0.338
407,245.0,822.0,0.356
408,195.5,813.0,0.374
409,0.5,0.0,2.0
410,2.0,0.0,2.0
411,2.25,0.0,2.0
412,244.0,778.0,0.444
413,242.0,806.0,0.388
414,5.0,0.0,2.0
415,13.0,1.0,1.998
416,265.5,794.0,0.412
417,15.5,1.0,1.998
418,0.25,0.0,2.0
419,2.25,0.0,2.0
420,0.75,0.0,2.0
421,274.75,807.0,0.386
422,234.75,803.0,0.394
423,22.0,1.0,1.998
424,9.5,1.0,1.998
425,5.25,0.0,2.0
426,252.25,845.0,0.31
427,22.0,0.0,2.0
428,2.5,0.0,2.0
429,5.0,0.0,2.0
430,8.25,0.0,2.0
431,13.25,0.0,2.0
432,211.5,801.0,0.398
433,250.75,774.0,0.452
434,2.0,0.0,2.0
435,8.5,0.0,2.0
436,227.5,767.0,0.466
437,273.5,817.0,0.366
438,0.5,0.0,2.0
