r.num,Duration,Epidemic,Rt,
378,229.25,809.00,0.38,
379,263.50,773.00,0.45,
380,193.25,840.00,0.32,
381,164.00,791.00,0.42,
382,5.00,0.00,2.00,
383,226.50,779.00,0.44,
384,22.00,0.00,2.00,
385,212.25,800.00,0.40,
386,188.50,791.00,0.42,
387,235.50,796.00,0.41,
388,28.50,1.00,2.00,
389,33.25,1.00,2.00,
390,17.25,1.00,2.00,
391,1.00,0.00,2.00,
392,4.25,0.00,2.00,
393,46.00,3.00,1.99,
394,2.25,0.00,2.00,
395,220.25,779.00,0.44,
396,3.00,0.00,2.00,
397,4.75,0.00,2.00,
398,3.00,0.00,2.00,
399,213.00,808.00,0.38,
400,249.00,782.00,0.44,
401,234.00,782.00,0.44,
402,228.00,806.00,0.39,
403,0.50,0.00,2.00,
404,2.75,0.00,2.00,
405,19.50,1.00,2.00,
406,3.50,0.00,2.00,
407,1.75,0.00,2.00,
408,0.75,0.00,2.00,
409,15.00,2.00,2.00,
410,8.25,0.00,2.00,
411,240.00,794.00,0.41,
412,10.00,1.00,2.00,
413,284.50,816.00,0.37,
414,0.75,0.00,2.00,
415,262.75,819.00,0.36,
416,225.50,826.00,0.35,
417,238.00,781.00,0.44,
418,5.75,1.00,2.00,
419,221.75,825.00,0.35,
420,48.00,7.00,1.99,
421,354.00,785.00,0.43,
422,278.25,762.00,0.48,
423,2.75,0.00,2.00,
424,236.25,744.00,0.51,
425,0.50,0.00,2.00,
426,180.75,784.00,0.43,
427,0.25,0.00,2.00,
428,303.50,724.00,0.55,
429,33.25,3.00,1.99,
430,7.50,0.00,2.00,
431,298.00,785.00,0.43,
432,69.25,14.00,1.97,
433,43.25,0.00,2.00,
434,342.75,794.00,0.41,
435,3.50,1.00,2.00,
436,216.50,824.00,0.35,
437,49.50,16.00,1.97,
438,22.00,6.00,1.99,
439,29.75,5.00,1.99,
440,277.25,820.00,0.36,
441,6.75,1.00,2.00,
442,10.75,1.00,2.00,
443,236.75,827.00,0.35,
444,232.50,692.00,0.62,
445,0.25,0.00,2.00,
446,2.50,0.00,2.00,
447,256.75,760.00,0.48,
448,21.25,5.00,1.99,
449,3.00,0.00,2.00,
450,3.25,0.00,2.00,
451,6.75,0.00,2.00,
452,278.50,777.00,0.45,
453,18.50,2.00,2.00,
454,321.75,726.00,0.55,
455,227.50,820.00,0.36,
456,194.00,819.00,0.36,
457,1.00,0.00,2.00,
458,217.50,781.00,0.44,
459,3.25,0.00,2.00,
460,12.00,0.00,2.00,
461,301.00,773.00,0.45,
462,303.50,791.00,0.42,
463,279.25,808.00,0.38,
464,313.75,831.00,0.34,
465,220.00,734.00,0.53,
466,9.00,0.00,2.00,
467,2.25,0.00,2.00,
468,24.75,1.00,2.00,
469,282.50,787.00,0.43,
470,5.75,0.00,2.00,
471,252.00,832.00,0.34,
472,329.00,761.00,0.48,
473,317.75,791.00,0.42,
474,1.75,0.00,2.00,
475,21.00,4.00,1.99,
476,92.00,17.00,1.97,
477,1.00,0.00,2.00,
478,342.00,765.00,0.47,
479,7.75,0.00,2.00,
480,260.00,791.00,0.42,
481,1.50,0.00,2.00,
482,251.25,840.00,0.32,
483,1.50,0.00,2.00,
484,7.75,0.00,2.00,
485,279.25,825.00,0.35,
486,105.75,43.00,1.91,
487,16.25,0.00,2.00,
488,11.75,0.00,2.00,
489,38.25,3.00,1.99,
490,0.50,0.00,2.00,
491,251.75,838.00,0.32,
492,36.25,5.00,1.99,
493,1.50,1.00,2.00,
494,204.25,756.00,0.49,
495,13.50,4.00,1.99,
496,239.00,822.00,0.36,
497,234.75,809.00,0.38,
498,243.00,758.00,0.48,
499,2.50,0.00,2.00,
500,2.50,0.00,2.00,
501,0.50,0.00,2.00,
502,282.50,781.00,0.44,
503,7.00,0.00,2.00,
504,12.75,0.00,2.00,
505,217.25,816.00,0.37,
506,254.75,748.00,0.50,
507,8.75,0.00,2.00,
508,5.25,1.00,2.00,
509,2.75,0.00,2.00,
510,248.25,797.00,0.41,
511,6.75,1.00,2.00,
512,311.50,834.00,0.33,
513,202.75,762.00,0.48,
514,29.75,3.00,1.99,
515,13.00,1.00,2.00,
516,269.25,733.00,0.53,
517,253.00,813.00,0.37,
518,231.50,825.00,0.35,
519,5.75,0.00,2.00,
520,276.75,810.00,0.38,
