r.num,Duration,Epidemic,Rt,ep_high,ep_low,
9662,269.75,695.00,0.42,448.00,247.00,
9663,239.50,700.00,0.42,439.00,261.00,
9664,291.75,708.00,0.41,476.00,232.00,
9665,281.50,633.00,0.55,408.00,225.00,
9666,6.75,0.00,1.98,0.00,0.00,
9667,241.75,684.00,0.44,447.00,237.00,
9668,201.25,668.00,0.47,426.00,242.00,
9669,206.00,643.00,0.52,421.00,222.00,
9670,298.75,686.00,0.43,422.00,264.00,
9671,214.00,716.00,0.39,464.00,252.00,
9672,263.00,671.00,0.48,444.00,227.00,
9673,252.75,718.00,0.37,457.00,261.00,
9674,241.00,685.00,0.44,427.00,258.00,
9675,228.50,705.00,0.41,437.00,268.00,
9676,232.00,705.00,0.41,467.00,238.00,
9677,234.75,718.00,0.38,470.00,248.00,
9678,30.00,1.00,1.98,1.00,0.00,
9679,96.00,12.00,1.93,9.00,3.00,
9680,277.25,730.00,0.36,476.00,254.00,
9681,13.00,0.00,2.00,0.00,0.00,
9682,341.25,619.00,0.53,397.00,222.00,
9683,265.75,664.00,0.47,407.00,257.00,
9684,306.25,702.00,0.42,460.00,242.00,
9685,23.25,1.00,2.01,1.00,0.00,
9686,273.75,626.00,0.54,399.00,227.00,
9687,247.00,699.00,0.43,443.00,256.00,
9688,260.00,696.00,0.45,438.00,258.00,
9689,278.50,675.00,0.46,443.00,232.00,
9690,313.25,706.00,0.40,449.00,257.00,
9691,297.00,747.00,0.36,480.00,267.00,
9692,16.25,1.00,2.02,0.00,1.00,
9693,286.50,757.00,0.34,464.00,293.00,
9694,292.00,730.00,0.39,462.00,268.00,
9695,235.25,681.00,0.45,453.00,228.00,
9696,19.25,0.00,1.99,0.00,0.00,
9697,268.50,625.00,0.55,401.00,224.00,
9698,214.00,591.00,0.60,401.00,190.00,
9699,233.00,669.00,0.50,420.00,249.00,
9700,280.50,688.00,0.44,422.00,266.00,
9701,206.50,698.00,0.41,445.00,253.00,
9702,9.50,0.00,1.99,0.00,0.00,
9703,274.50,734.00,0.38,466.00,268.00,
9704,16.25,0.00,1.95,0.00,0.00,
9705,294.50,659.00,0.51,408.00,251.00,
9706,252.25,732.00,0.37,463.00,269.00,
9707,254.75,660.00,0.49,429.00,231.00,
9708,32.50,1.00,2.00,1.00,0.00,
9709,214.25,729.00,0.39,436.00,293.00,
9710,225.50,703.00,0.39,450.00,253.00,
9711,24.25,0.00,2.01,0.00,0.00,
9712,280.75,694.00,0.44,443.00,251.00,
9713,22.75,0.00,2.01,0.00,0.00,
9714,46.00,3.00,2.00,2.00,1.00,
9715,26.00,0.00,2.04,0.00,0.00,
9716,310.25,594.00,0.58,380.00,214.00,
