,Duration,Epidemic,ep_high,ep_low,Rt
1110,238.0,679.0,433.0,246.0,0.445
1111,5.0,0.0,0.0,0.0,2.052
1112,262.25,677.0,447.0,230.0,0.479
1113,276.75,724.0,467.0,257.0,0.39
1114,266.0,697.0,434.0,263.0,0.421
1115,249.5,722.0,448.0,274.0,0.362
1116,292.75,737.0,460.0,277.0,0.355
1117,11.0,0.0,0.0,0.0,2.052
1118,245.0,685.0,429.0,256.0,0.483
1119,206.5,624.0,403.0,221.0,0.538
1120,236.25,610.0,385.0,225.0,0.5660000000000001
1121,216.25,699.0,458.0,241.0,0.405
1122,15.75,0.0,0.0,0.0,1.96
1123,347.75,713.0,458.0,255.0,0.405
1124,68.0,3.0,2.0,1.0,2.005
1125,221.25,717.0,446.0,271.0,0.397
1126,9.5,0.0,0.0,0.0,1.9820000000000002
1127,266.25,739.0,473.0,266.0,0.377
1128,253.0,713.0,460.0,253.0,0.375
1129,303.25,700.0,440.0,260.0,0.406
1130,286.75,717.0,443.0,274.0,0.383
1131,18.5,0.0,0.0,0.0,2.056
1132,28.0,1.0,0.0,1.0,1.957
1133,261.0,658.0,421.0,237.0,0.496
1134,238.0,664.0,421.0,243.0,0.508
1135,347.75,677.0,454.0,223.0,0.42300000000000004
1136,253.75,697.0,435.0,262.0,0.40900000000000003
1137,232.75,682.0,433.0,249.0,0.46199999999999997
1138,268.5,625.0,417.0,208.0,0.5389999999999999
1139,304.5,675.0,435.0,240.0,0.469
1140,251.25,700.0,430.0,270.0,0.404
1141,283.0,698.0,438.0,260.0,0.432
1142,269.75,673.0,438.0,235.0,0.479
1143,275.75,720.0,430.0,290.0,0.384
1144,262.25,635.0,426.0,209.0,0.5269999999999999
1145,290.25,607.0,387.0,220.0,0.565
1146,8.5,0.0,0.0,0.0,1.992
1147,235.25,700.0,436.0,264.0,0.422
1148,199.75,670.0,433.0,237.0,0.448
1149,16.25,0.0,0.0,0.0,2.01
1150,24.75,0.0,0.0,0.0,2.02
1151,4.75,0.0,0.0,0.0,1.96
1152,202.75,666.0,461.0,205.0,0.47
1153,228.0,720.0,443.0,277.0,0.39
1154,7.0,0.0,0.0,0.0,2.026
1155,8.0,0.0,0.0,0.0,1.9500000000000002
1156,26.5,0.0,0.0,0.0,1.972
1157,246.0,667.0,414.0,253.0,0.477
1158,33.25,2.0,1.0,1.0,1.962
1159,206.25,658.0,400.0,258.0,0.5
1160,262.25,645.0,434.0,211.0,0.509
1161,343.5,712.0,460.0,252.0,0.394
1162,241.25,683.0,437.0,246.0,0.435
1163,331.5,698.0,438.0,260.0,0.418
1164,240.25,684.0,437.0,247.0,0.42400000000000004
1165,17.0,2.0,2.0,0.0,1.946
1166,13.0,0.0,0.0,0.0,2.012
1167,46.25,2.0,2.0,0.0,1.97
1168,299.5,730.0,458.0,272.0,0.376
1169,291.0,733.0,446.0,287.0,0.373
1170,235.5,718.0,445.0,273.0,0.402
1171,319.5,693.0,430.0,263.0,0.439
1172,285.0,632.0,403.0,229.0,0.5
1173,299.5,703.0,443.0,260.0,0.413
