,Duration,Epidemic,ep_high,ep_low,Rt
3517,291,654,419,235,0.508
3518,239.5,737,461,276,0.341
3519,237,741,461,280,0.337
3520,27,0,0,0,2
3521,4.75,0,0,0,2
3522,250.75,697,430,267,0.443
3523,271,651,430,221,0.489
3524,62,3,2,1,1.993
3525,231,688,441,247,0.43
3526,269.25,678,423,255,0.476
3527,248.75,723,448,275,0.381
3528,23,0,0,0,2
3529,265,702,445,257,0.408
3530,42.75,8,5,3,1.982
3531,250.75,710,438,272,0.414
3532,249,668,431,237,0.47
3533,232,663,434,229,0.469
3534,51.25,0,0,0,2
3535,221.5,665,425,240,0.485
3536,241.75,703,447,256,0.403
3537,344.75,703,449,254,0.399
3538,321.25,687,443,244,0.427
3539,317.25,701,441,260,0.417
3540,339,637,417,220,0.529
3541,268,717,441,276,0.401
3542,13.5,0,0,0,2
3543,14.5,1,1,0,1.997
3544,308.75,706,444,262,0.406
3545,293,666,426,240,0.482
3546,265,688,431,257,0.45
3547,264,642,417,225,0.524
3548,19.5,2,1,1,1.996
3549,225.25,707,451,256,0.391
3550,18,1,1,0,1.997
3551,17.75,1,1,0,1.997
3552,10,0,0,0,2
3553,298.25,680,439,241,0.442
3554,287.75,643,429,214,0.499
3555,256.25,691,435,256,0.439
3556,264.25,719,447,272,0.387
3557,40.75,2,2,0,1.994
3558,9.5,0,0,0,2
3559,281.75,650,417,233,0.516
3560,241.75,682,439,243,0.44
3561,27.5,1,0,1,1.999
3562,292.5,678,444,234,0.434
3563,8,0,0,0,2
3564,279.5,703,438,265,0.421
3565,6.75,0,0,0,2
3566,327.75,677,431,246,0.461
3567,210.75,733,447,286,0.373
3568,9.75,0,0,0,2
3569,11.25,0,0,0,2
3570,312.25,680,433,247,0.454
3571,234.5,712,443,269,0.402
3572,5.25,0,0,0,2
3573,11,1,1,0,1.997
3574,224.25,708,443,265,0.406
3575,240.25,645,419,226,0.517
3576,229.25,710,442,268,0.406
3577,239,678,421,257,0.48
3578,18,0,0,0,2
3579,324,710,435,275,0.42
3580,243,711,443,268,0.403
3581,238.75,680,438,242,0.444
3582,269.75,708,442,266,0.408
3583,47.75,4,3,1,1.99
3584,260.75,692,450,242,0.408
3585,10.75,0,0,0,2
3586,269.5,694,436,258,0.434
3587,16.75,0,0,0,2
3588,237.25,652,426,226,0.496
3589,384.25,658,417,241,0.508
3590,239.25,700,439,261,0.422
3591,52.25,6,5,1,1.984
3592,316,657,431,226,0.481
3593,17,2,0,2,1.998
3594,17.5,0,0,0,2
3595,21.5,0,0,0,2
3596,35.25,1,1,0,1.997
3597,357.75,658,432,226,0.478
3598,328.25,670,432,238,0.466
3599,226.75,691,438,253,0.433
3600,282.75,699,440,259,0.421
3601,288,652,438,214,0.472
3602,52.75,3,3,0,1.991
3603,11.25,0,0,0,2
3604,247.5,675,432,243,0.461
3605,234.75,698,448,250,0.406
3606,239.5,653,441,212,0.465
3607,8.5,0,0,0,2
3608,15.5,0,0,0,2
3609,243,716,438,278,0.408
3610,327.5,684,437,247,0.442
3611,271.5,684,434,250,0.448
3612,23.25,0,0,0,2
3613,37.5,1,1,0,1.997
3614,267.75,681,433,248,0.453
3615,285.5,724,447,277,0.382
3616,310,694,432,262,0.442
3617,220,685,435,250,0.445
3618,244.25,655,414,241,0.517
3619,5.25,0,0,0,2
3620,59,5,5,0,1.985
3621,275.75,675,437,238,0.451
3622,263.5,712,446,266,0.396
3623,278,723,446,277,0.385
3624,4.5,0,0,0,2
3625,261.5,718,449,269,0.384
3626,246.5,687,434,253,0.445
3627,212.25,696,434,262,0.436
3628,310.75,713,441,272,0.405
3629,235,703,436,267,0.425
3630,257.25,694,446,248,0.414
3631,18.5,0,0,0,2
3632,67,6,5,1,1.984
3633,15.5,0,0,0,2
3634,246.25,701,443,258,0.413
3635,256.25,661,433,228,0.473
3636,236.75,712,452,260,0.384
3637,40.25,1,1,0,1.997
3638,252.75,650,415,235,0.52
3639,6.5,0,0,0,2
